acousticness,danceability,duration_ms,energy,firstartist,id,imageurl,instrumentalness,key,liveness,loudness,popularity,preview_url,speechiness,spotifyurl,tempo,time_signature,track_number,trackname,valence,density,baseline_ranking,baseline_score
0.0378,0.8390000000000001,265667,0.878,Clipse,5fuckUyGUsTPJEugfXNsjw,https://i.scdn.co/image/e88bf5cccf92f9d53d43c70a0b7bb1586ee50f88,8.56e-06,7,0.0692,-2.485,38,https://p.scdn.co/mp3-preview/ca4b718e87bb7f5286cfe5f6c0bb3688883f46fe?cid=f715962b546a41029c80979d6042ad77,0.0916,https://open.spotify.com/track/5fuckUyGUsTPJEugfXNsjw,88,4,2,Young Boy,0.8490000000000001,522.0742026937745,406.0,2946.0
0.0031,0.769,195347,0.601,Juicy J,5HmhfuQOiPFowUEjN6ytZk,https://i.scdn.co/image/4f1acdac8e5d8d8b585ec2a18a9ac73779ef4b42,0.0,1,0.272,-8.402000000000001,50,https://p.scdn.co/mp3-preview/bdd6e19a566ace9707cdef1e7a135d40e0cb4857?cid=f715962b546a41029c80979d6042ad77,0.171,https://open.spotify.com/track/5HmhfuQOiPFowUEjN6ytZk,169,4,8,Ain't Nothing (feat. Wiz Khalifa & Ty Dolla $ign),0.448,517.6903530694779,407.0,2945.0
0.0657,0.875,421227,0.768,Spoonie Gee,2lHzeTh7Af6xs6IhrcoYjP,https://i.scdn.co/image/40a4b6730ffec7e3254fe3bf05b14a80628730ec,0.0,1,0.196,-10.001,20,https://p.scdn.co/mp3-preview/9011de01387acaa7b8e54b2b84531adea5c8d1e3?cid=f715962b546a41029c80979d6042ad77,0.198,https://open.spotify.com/track/2lHzeTh7Af6xs6IhrcoYjP,98,4,9,Spoonin' Rap,0.7709999999999999,517.2289860284832,408.0,2944.0
0.0122,0.7170000000000001,230067,0.711,Beanie Sigel,7MIuB7fQ3XifNnChQhwCfO,https://i.scdn.co/image/e1d4c8ec00ce6a3b0e91b16de63350fe96d824ce,0.0,10,0.327,-6.64,44,,0.3,https://open.spotify.com/track/7MIuB7fQ3XifNnChQhwCfO,88,4,9,Man's World,0.653,516.9527043530841,409.0,2943.0
0.0238,0.812,221067,0.626,B2K,2ZSp1BC7agz2TkgSATdi9U,https://i.scdn.co/image/8fcf6685bcc77b3625991fcd5906eea476ba882e,0.000699,4,0.149,-5.025,53,https://p.scdn.co/mp3-preview/379ed46528b7f22087a83d79859bdabb95b69559?cid=f715962b546a41029c80979d6042ad77,0.149,https://open.spotify.com/track/2ZSp1BC7agz2TkgSATdi9U,96,4,1,Badaboom,0.8109999999999999,515.0489457578886,410.0,2942.0
0.00456,0.867,257360,0.517,MC Hammer,1B75hgRqe7A4fwee3g3Wmu,https://i.scdn.co/image/b28b2314bb4af0ab5d7f52b28158eca0776af6d4,0.000339,11,0.0864,-13.222,70,,0.0875,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu,133,4,2,U Can't Touch This,0.866,513.118131760893,411.0,2941.0
0.000235,0.8340000000000001,230133,0.652,David Banner,5CWyE2OcZI1HVnHBh4RrKF,https://i.scdn.co/image/041b43bcf464c6f22ef86fcb60f45d8412923f8e,0.0933,1,0.206,-7.899,51,,0.18,https://open.spotify.com/track/5CWyE2OcZI1HVnHBh4RrKF,95,4,5,Play,0.5479999999999999,511.47113107286,412.0,2940.0
0.0202,0.8540000000000001,296027,0.8320000000000001,Grandmaster Flash & The Furious Five,3BJo17rQ2xavZHSiUcGkcx,https://i.scdn.co/image/beeb82b8d20777abdb22af813ce54f4e9fa9ed32,2.01e-06,1,0.312,-8.61,21,https://p.scdn.co/mp3-preview/70f0610b7fdf34f12bc4b77a7b0a0b6ba4a8fbc1?cid=f715962b546a41029c80979d6042ad77,0.157,https://open.spotify.com/track/3BJo17rQ2xavZHSiUcGkcx,118,4,1,She's Fresh,0.6729999999999999,509.51271971143836,413.0,2939.0
0.0434,0.7829999999999999,279733,0.857,Big Tymers,3POHqIALdQbnE64Z023aon,https://i.scdn.co/image/2e6e5a94b1d688b2594674dc39bc08dfc1dfd87b,0.000763,2,0.0698,-3.812,29,,0.182,https://open.spotify.com/track/3POHqIALdQbnE64Z023aon,176,4,1,Big Ballin',0.477,509.38645459714655,414.0,2938.0
0.0059700000000000005,0.8140000000000001,256640,0.7070000000000001,The Lox,2cXWKSIbNwqxz1TEKdOupS,https://i.scdn.co/image/634206848908b7e03af5523e3b58166eb8c913ec,0.0,9,0.16399999999999998,-4.975,33,https://p.scdn.co/mp3-preview/5edd2348844777d42a2041814257c771420571c9?cid=f715962b546a41029c80979d6042ad77,0.258,https://open.spotify.com/track/2cXWKSIbNwqxz1TEKdOupS,96,4,9,"Money, Power and Respect (feat. DMX and Lil' Kim)",0.423,508.5873906855743,415.0,2937.0
0.0171,0.721,276107,0.7040000000000001,Montell Jordan,0qr7aS1xeJEgpA4OVHOHcz,https://i.scdn.co/image/69aec028674836c2c1da3876c5430fd4c4068ab6,0.0,4,0.229,-8.494,37,,0.0946,https://open.spotify.com/track/0qr7aS1xeJEgpA4OVHOHcz,93,4,2,Somethin' 4 Da Honeyz,0.742,506.08921152835154,416.0,2936.0
0.0365,0.912,247307,0.457,Nice & Smooth,5QWYZIj0MVPbLCYhtYajob,https://i.scdn.co/image/7b8c52b08ae776fbee839d3b56300c9482071adf,0.0,10,0.0775,-15.021,17,,0.269,https://open.spotify.com/track/5QWYZIj0MVPbLCYhtYajob,106,4,13,Nice & Smooth,0.42,500.6318805329387,417.0,2935.0
0.00103,0.925,181234,0.621,Big Boi,4CSI3bZF7XqLjwfxxdpw0y,https://i.scdn.co/image/93c9ab58c9e99145cb3d1e10b735f5d8a500528c,0.00658,11,0.0962,-6.11,47,https://p.scdn.co/mp3-preview/3a50dc6fecd4e67a7a12ca6dc38c620ab2bb154a?cid=f715962b546a41029c80979d6042ad77,0.0991,https://open.spotify.com/track/4CSI3bZF7XqLjwfxxdpw0y,114,4,9,Chocolate (feat. Trozé),0.536,499.83969172931364,418.0,2934.0
0.0917,0.821,296275,0.765,Paris,6wDDK8uuBAB313zAVX6vrs,https://i.scdn.co/image/2f575cd1ef2b76e65494ed1ad8c2a901c5ce51f7,0.0,2,0.0789,-5.367000000000001,18,https://p.scdn.co/mp3-preview/043068242703e881fcacb6c003be75c5356263cc?cid=f715962b546a41029c80979d6042ad77,0.274,https://open.spotify.com/track/6wDDK8uuBAB313zAVX6vrs,98,4,10,Call Signs,0.763,498.91061045740923,419.0,2933.0
0.0734,0.8029999999999999,290249,0.82,3rd Bass,1jz7S85eVDXaUUjvYBlyJT,https://i.scdn.co/image/b7da8d0dbffca7f863c8d303c797cc14f41a6ffb,0.0,1,0.133,-6.999,15,,0.262,https://open.spotify.com/track/1jz7S85eVDXaUUjvYBlyJT,103,4,18,Steppin' To The A.M.,0.758,497.4395653767189,420.0,2932.0
0.00212,0.871,278827,0.743,Juicy J,7EZPH9Px3gXlxD5KJDwtwc,https://i.scdn.co/image/08a3f3a757934508b3cd4e0bbd84bc3a42c521e0,0.0,2,0.141,-5.442,62,https://p.scdn.co/mp3-preview/86403b0c1ed41fee7126fe68c8986f36ec5d2035?cid=f715962b546a41029c80979d6042ad77,0.277,https://open.spotify.com/track/7EZPH9Px3gXlxD5KJDwtwc,131,4,14,Bandz A Make Her Dance,0.5760000000000001,496.9707100082563,421.0,2931.0
0.0131,0.706,264853,0.785,The Carters,62GXGpd73vslqIBHq8XqOx,https://i.scdn.co/image/291be93de91331b64e8c99c3e8f20e066598a0d1,0.0,2,0.16399999999999998,-6.475,72,https://p.scdn.co/mp3-preview/ab8b0397e06448340bdaee986669ba3ccb875017?cid=f715962b546a41029c80979d6042ad77,0.271,https://open.spotify.com/track/62GXGpd73vslqIBHq8XqOx,160,4,2,APESHIT,0.377,495.0953566513573,422.0,2930.0
0.0348,0.757,189533,0.73,Nicki Minaj,3L4GsGLgxpHieVQH86H8bv,https://i.scdn.co/image/95453fa449e3edb2005fd3e714e90a2308c8d7f6,6.17e-05,7,0.136,-6.3039999999999985,64,,0.187,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv,90,4,6,Bed (feat. Ariana Grande),0.451,494.09812738377946,423.0,2929.0
