id,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
4QxhhAycGintmBe9KOaxBz,Colder Than Winter,31,,2,Sarah Brightman,https://i.scdn.co/image/562518a69026bc383554f7d11b2b977cedae88d3,https://open.spotify.com/track/4QxhhAycGintmBe9KOaxBz,0.815,0.256,242240,0.29100000000000004,0.021,7,0.15,-12.308,0.0309,87,4,0.19399999999999998
0lhXSu9kLFNMY5hA7c6fK6,Mary Did You Know,21,https://p.scdn.co/mp3-preview/5d38dd9f3c9068d0edd56a3bf9a40169b44f5f9e?cid=f715962b546a41029c80979d6042ad77,1,The Texas Tenors,https://i.scdn.co/image/5f5f8528f9bad63be6c888b8eea6185bf58a329e,https://open.spotify.com/track/0lhXSu9kLFNMY5hA7c6fK6,0.792,0.321,206160,0.49,5.14e-05,2,0.0924,-6.287999999999999,0.0288,107,5,0.305
6a7QqeDllpvgp7ajQ2AXLP,If We Hold On Together,26,https://p.scdn.co/mp3-preview/4c863acf1abe63fe5f084aa529ae6e3637359ca7?cid=f715962b546a41029c80979d6042ad77,13,James Horner,https://i.scdn.co/image/6537b795a97b7ac1cd4d296bc90350796e0d4030,https://open.spotify.com/track/6a7QqeDllpvgp7ajQ2AXLP,0.9329999999999999,0.215,211933,0.21899999999999997,0.46299999999999997,0,0.684,-23.055,0.0663,109,3,0.177
1AvNX76vk876tGUPCAoPuK,All I Want for Christmas Is You,18,https://p.scdn.co/mp3-preview/678270638117d9019b56d0138fe5752d448188ad?cid=f715962b546a41029c80979d6042ad77,4,Mariah Carey,https://i.scdn.co/image/1d7f321dbf3fa62687e8beb5ebc1a28d2859f8b0,https://open.spotify.com/track/1AvNX76vk876tGUPCAoPuK,0.937,0.22699999999999998,205840,0.304,0.000308,5,0.11,-11.815999999999999,0.0416,68,4,0.207
3ZdFsyDW9F7r6GlfXOe02d,White Christmas,25,https://p.scdn.co/mp3-preview/d797b9ecece0eac18798f8edb3845e87ff979a4c?cid=f715962b546a41029c80979d6042ad77,14,Collabro,https://i.scdn.co/image/d88ecb1cecdb280e9a53bb95e44567b2cc9f911f,https://open.spotify.com/track/3ZdFsyDW9F7r6GlfXOe02d,0.716,0.17800000000000002,193493,0.297,4.72e-06,1,0.109,-8.888,0.0345,129,4,0.0995
0KdjS7vVE7vtB8BCVoxWLi,(Your Love) The Greatest Gift of All (feat. Mark Masri and Jim Brickman),23,https://p.scdn.co/mp3-preview/9e073e15da1416a1605dac536da01bd273fa492c?cid=f715962b546a41029c80979d6042ad77,4,Amy Sky,https://i.scdn.co/image/1169376d1a75e7bcd3fd2a2454c13e87abb7606d,https://open.spotify.com/track/0KdjS7vVE7vtB8BCVoxWLi,0.674,0.515,215373,0.511,0.0,5,0.0692,-7.0,0.027999999999999997,124,4,0.395
6oJIEWNjikiTqjljHcuvZD,The First Noel,17,https://p.scdn.co/mp3-preview/e2dd493652c2ab384f2d265ba2781aafdab33c4f?cid=f715962b546a41029c80979d6042ad77,4,Traditional,https://i.scdn.co/image/f0c026d4463afe9bd06a952c383351865fd150d0,https://open.spotify.com/track/6oJIEWNjikiTqjljHcuvZD,0.975,0.222,148360,0.366,0.0518,3,0.0967,-6.938,0.0335,131,4,0.376
4pxmvilh6BeKQUWvTWyxET,Christmas Angels,31,https://p.scdn.co/mp3-preview/3ee387614626ee785953503a24fa9f785d6aef74?cid=f715962b546a41029c80979d6042ad77,18,Clannad,https://i.scdn.co/image/248b2c895f28bdc4d6ec0737c1df0189f6144c85,https://open.spotify.com/track/4pxmvilh6BeKQUWvTWyxET,0.821,0.25,258173,0.41100000000000003,0.000132,7,0.122,-11.696,0.0334,119,4,0.11
6AuZm2S7j6sfFHKq7gc5PX,I'll Be Home For Christmas,1,,14,Michael Ball,https://i.scdn.co/image/11357deef175268d1092700d97824a20bf0422c0,https://open.spotify.com/track/6AuZm2S7j6sfFHKq7gc5PX,0.7,0.14,241600,0.27,0.217,8,0.115,-16.192999999999998,0.0363,83,4,0.0849
58tljZEwrl1GPGd8lpmVxF,Santa Lucia,0,,8,Anonymous,https://i.scdn.co/image/42d33be60a5317f58b78d6a143eb1540d223f417,https://open.spotify.com/track/58tljZEwrl1GPGd8lpmVxF,0.971,0.355,222000,0.0128,1.39e-05,10,0.28300000000000003,-25.816999999999997,0.0525,78,3,0.0985
2nsZBM2TAgBUjWSE4ZqsA3,O Holy Night,40,https://p.scdn.co/mp3-preview/93698b5f8c7ecae56fe8e78f927b508ce1312430?cid=f715962b546a41029c80979d6042ad77,1,Il Divo,https://i.scdn.co/image/eefc10d097e53e0a75d067d73b8ac105ad209eec,https://open.spotify.com/track/2nsZBM2TAgBUjWSE4ZqsA3,0.9790000000000001,0.13699999999999998,239133,0.415,0.00626,3,0.139,-8.003,0.0374,76,4,0.0999
0HxFfvcePAN3Jec7Bgg1Rq,The Wexford Carol,35,,14,Celtic Woman,https://i.scdn.co/image/55d696bfd45fad48623270bbed29cf1d4753abba,https://open.spotify.com/track/0HxFfvcePAN3Jec7Bgg1Rq,0.993,0.24,184133,0.0518,0.00165,0,0.10099999999999999,-18.344,0.0469,173,4,0.275
55eiHpHaMMYZCXfH39KSWr,Christmas Dream Come True Jonathan Antoine,21,https://p.scdn.co/mp3-preview/e0795e280b445995047f6029fe470eb90acd10a8?cid=f715962b546a41029c80979d6042ad77,1,Jonathan Antoine,https://i.scdn.co/image/a9e015ee1f9b6377d9d8734002bd60afef2d98b6,https://open.spotify.com/track/55eiHpHaMMYZCXfH39KSWr,0.9420000000000001,0.3,237400,0.237,7.099999999999999e-05,2,0.0992,-12.344000000000001,0.0349,129,4,0.203
4uWaKjhoP44R7jCTGXhGBG,Happy Christmas (War is Over),28,https://p.scdn.co/mp3-preview/57d43c2ccdf531433a75126519a892628b18787b?cid=f715962b546a41029c80979d6042ad77,13,Ono Yoko,https://i.scdn.co/image/309983746d194e9053cc9b4255bc9f78ef8f143a,https://open.spotify.com/track/4uWaKjhoP44R7jCTGXhGBG,0.973,0.273,199226,0.513,0.0021899999999999997,11,0.575,-9.342,0.0543,126,4,0.39899999999999997
4ivVHj3Yn83fVUPQt6f2vM,Holy Child - Christmas Is Album Version,0,,6,Mark Masri,https://i.scdn.co/image/4e43e60a83bbbea70f2e93eb576b9b4c1f77d5f3,https://open.spotify.com/track/4ivVHj3Yn83fVUPQt6f2vM,0.883,0.15,358146,0.33299999999999996,0.000696,11,0.11199999999999999,-9.523,0.0296,83,4,0.0548
60e6SwD2rHg8uM6mYex4qs,The Bells Of St. Paul,25,https://p.scdn.co/mp3-preview/2a078cdb6ad895a0eb6df6719e36cc601273961f?cid=f715962b546a41029c80979d6042ad77,13,Linda Eder,https://i.scdn.co/image/a0ec719ca278692346337d0e573cd862e3584d70,https://open.spotify.com/track/60e6SwD2rHg8uM6mYex4qs,0.687,0.36700000000000005,262026,0.36200000000000004,1.93e-05,4,0.0893,-9.116,0.0305,134,4,0.0758
