id,genre_allmusic,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,density,baseline_ranking,baseline_score
4hRpcTdKlOaudWluNAq8L9,avant-garde,"""Come In!"": 2nd mvt.",23,,1,Vladimir Martynov,https://i.scdn.co/image/ab67616d00001e02c7826179e02410a42173f72b,https://open.spotify.com/track/4hRpcTdKlOaudWluNAq8L9,0.6579999999999999,0.14300000000000002,270940,0.238,0.0839,9,0.0909,-13.847,0.0384,141.489,4,0.0385,169.41085415509556,303.0,3003.0
2EI1MZ0m1lh9H0yxmseHJa,avant-garde,Játékok / 3.: 39. Hommage à Christian Wolff (Félálomban),19,,7,György Kurtág,https://i.scdn.co/image/ab67616d00001e02381481a403899bc403374034,https://open.spotify.com/track/2EI1MZ0m1lh9H0yxmseHJa,0.994,0.395,67493,0.00133,0.96,2,0.0793,-45.021,0.0596,141.209,5,0.0,168.23006029681324,304.0,3002.0
2U9rXVRiRnRTL1Y3H1sReI,avant-garde,The Evil That Never Arrived,43,https://p.scdn.co/mp3-preview/2268d8e78c10b3dc78388207ae5481867903f952?cid=9fdb4c15be18472b830ea3f6f9779309,4,Stars Of The Lid,https://i.scdn.co/image/ab67616d00001e02d6eb832295ddf386c825fdba,https://open.spotify.com/track/2U9rXVRiRnRTL1Y3H1sReI,0.939,0.136,304987,0.0754,0.923,2,0.106,-20.76,0.0465,143.03,3,0.0352,167.86725929533105,305.0,3001.0
5Iu03rDn9k5c4fV10nCDyS,avant-garde,After Dark,20,https://p.scdn.co/mp3-preview/366fa08f12becc39c3ead23e864bfb779a293c41?cid=9fdb4c15be18472b830ea3f6f9779309,4,Jeff Pearce,https://i.scdn.co/image/ab67616d00001e02643213ca13486909281086c8,https://open.spotify.com/track/5Iu03rDn9k5c4fV10nCDyS,0.947,0.191,469533,0.17800000000000002,0.8640000000000001,0,0.0849,-19.935,0.0418,60.899,4,0.0321,167.58791555894663,306.0,3000.0
3KB0pqcoZJjJlHqT4BKZOQ,avant-garde,Asa Tru,4,https://p.scdn.co/mp3-preview/5c859f1f240902688182d0d9acba036ccd5cb0c8?cid=9fdb4c15be18472b830ea3f6f9779309,9,Eyvind Kang,https://i.scdn.co/image/ab67616d00001e0229edfc21f5b2400f92957a46,https://open.spotify.com/track/3KB0pqcoZJjJlHqT4BKZOQ,0.877,0.154,396520,0.0509,0.782,10,0.125,-20.323,0.0407,135.803,3,0.0375,167.48774670974004,307.0,2999.0
21xi7ED2V7n1VUIPaPZFqK,avant-garde,"String Quartet No. 3, ""Angels' Music"": Angels' Music",7,https://p.scdn.co/mp3-preview/a68f7231efa669f41515143d960d6adae9e2a2d0?cid=9fdb4c15be18472b830ea3f6f9779309,3,Bent Sørensen,https://i.scdn.co/image/ab67616d00001e02ff6b20e3659daf367e149b0d,https://open.spotify.com/track/21xi7ED2V7n1VUIPaPZFqK,0.789,0.146,1015200,0.0417,0.006520000000000001,7,0.342,-28.606,0.0529,75.717,1,0.0373,167.05273702337539,308.0,2998.0
09Ypj9s9EF8ipUtGod9PX9,avant-garde,Requiem Aeternam,4,https://p.scdn.co/mp3-preview/07ad710ab10607e8f30f9fc07a64beb9ca653130?cid=9fdb4c15be18472b830ea3f6f9779309,1,Michel Chion,https://i.scdn.co/image/ab67616d00001e020efd35285fb3d0e9d782bfc9,https://open.spotify.com/track/09Ypj9s9EF8ipUtGod9PX9,0.6859999999999999,0.123,335600,0.218,0.0299,3,0.115,-14.215,0.0403,88.07700000000001,4,0.0386,166.97779415422877,309.0,2997.0
0EXWcVFtynKrWiQqpRDkTh,avant-garde,"Suite from ""The Hours"" - Movement I",34,https://p.scdn.co/mp3-preview/3a277f88f6992a53f24af5d65e114dd7db4d9a9c?cid=9fdb4c15be18472b830ea3f6f9779309,1,Philip Glass,https://i.scdn.co/image/ab67616d00001e0227d18614c77540ed14f28942,https://open.spotify.com/track/0EXWcVFtynKrWiQqpRDkTh,0.951,0.145,630893,0.0766,0.882,7,0.108,-22.1,0.0368,67.461,4,0.0345,166.91744461192857,310.0,2996.0
7MDWKCPgOrq7fcCrBDIEFa,avant-garde,"Quatuor À Cordes II en Fa-Sharp Mineur, Op. 10: ""Litanei"" Langsam",9,https://p.scdn.co/mp3-preview/f786327434bfe38ecd01c0ac7fc08117d2b897c2?cid=9fdb4c15be18472b830ea3f6f9779309,7,Arnold Schoenberg,https://i.scdn.co/image/ab67616d00001e022a75100337b3cf4939a5ff7a,https://open.spotify.com/track/7MDWKCPgOrq7fcCrBDIEFa,0.97,0.219,355627,0.0675,0.000235,6,0.103,-18.952,0.0463,83.654,4,0.0356,166.588273869283,311.0,2995.0
0UKPx1cawzkUsMhX1lvpYt,avant-garde,Arrival,48,https://p.scdn.co/mp3-preview/9a53fc92532c119d928f8c75c97763f627a067a3?cid=9fdb4c15be18472b830ea3f6f9779309,18,Dustin O'Halloran,https://i.scdn.co/image/ab67616d00001e0296afbeeee1cd642932219aec,https://open.spotify.com/track/0UKPx1cawzkUsMhX1lvpYt,0.957,0.202,266667,0.0894,0.887,0,0.142,-22.269,0.0381,135.033,3,0.0386,166.56406694415713,312.0,2994.0
0MBpYYkq00oLdduhI6NgxP,avant-garde,"5 Songs from Cold Mountain: No. 1, Clouds and Waters",0,https://p.scdn.co/mp3-preview/72b4044638fa9488416ba78b5bbfe722a86029d6?cid=9fdb4c15be18472b830ea3f6f9779309,1,Bun-Ching Lam,https://i.scdn.co/image/ab67616d00001e023edbbd327d6501e69b6ddc49,https://open.spotify.com/track/0MBpYYkq00oLdduhI6NgxP,0.978,0.24,242064,0.124,0.0129,5,0.0911,-17.134,0.0384,135.418,4,0.0341,166.07301353479625,313.0,2993.0
6FZDedaCzYhO4sdG3VYcHZ,avant-garde,House of Woodcock,54,https://p.scdn.co/mp3-preview/6063616d3653909af49100f27aa81c60c2b2cee5?cid=9fdb4c15be18472b830ea3f6f9779309,13,Jonny Greenwood,https://i.scdn.co/image/ab67616d00001e025eabe9b8d4e28e2ef3c183b8,https://open.spotify.com/track/6FZDedaCzYhO4sdG3VYcHZ,0.967,0.253,233427,0.126,0.858,2,0.112,-17.009,0.0377,67.171,4,0.0355,165.7503732095047,314.0,2992.0
1dIf1815FWz42hTgsTKGM6,avant-garde,Light Flowers Dark Flowers: Light Flowers Dark Flowers: I.,6,https://p.scdn.co/mp3-preview/f8463cf0b05a3d0dadf3e33693f9b07092573676?cid=9fdb4c15be18472b830ea3f6f9779309,1,Alvin Curran,https://i.scdn.co/image/ab67616d00001e02cbe71e887eca3220c994f194,https://open.spotify.com/track/1dIf1815FWz42hTgsTKGM6,0.976,0.234,1487629,0.151,0.895,5,0.695,-18.582,0.0431,113.552,3,0.0384,165.5852270057173,315.0,2991.0
6rfREkvD7oOVO0LWPrcmNd,avant-garde,Keshava Murahara,34,https://p.scdn.co/mp3-preview/66dcce8dc0dba4470fb27252baf0b5693193518a?cid=9fdb4c15be18472b830ea3f6f9779309,8,Alice Coltrane,https://i.scdn.co/image/ab67616d00001e028e491f5984c07cc1b04a774c,https://open.spotify.com/track/6rfREkvD7oOVO0LWPrcmNd,0.726,0.16899999999999998,584507,0.254,0.0622,4,0.135,-12.408,0.0307,82.661,3,0.039,163.9678497030753,316.0,2990.0
3Sy6wgTNEp6vSgLs4EyXAf,avant-garde,Flight From The City,60,,1,Jóhann Jóhannsson,https://i.scdn.co/image/ab67616d00001e028988ae051bcdcab293a76f3d,https://open.spotify.com/track/3Sy6wgTNEp6vSgLs4EyXAf,0.932,0.13,391160,0.086,0.912,10,0.108,-21.92,0.0373,90.223,4,0.0375,163.81161951564954,317.0,2989.0
1s1khGzgxpsxVk49aNPoBj,avant-garde,This Dominion,18,https://p.scdn.co/mp3-preview/7c131a2e03b3eab52536fb2975ee63289f50c419?cid=9fdb4c15be18472b830ea3f6f9779309,8,Between Interval,https://i.scdn.co/image/ab67616d00001e026cf4a0350f1a07cfcc2c9d44,https://open.spotify.com/track/1s1khGzgxpsxVk49aNPoBj,0.929,0.129,468773,0.225,0.848,2,0.0953,-22.94,0.0455,146.003,1,0.0372,163.65778972774538,318.0,2988.0
66hmFhdoI5YyDtNQYF2LoW,avant-garde,Flowering Jasmine,39,https://p.scdn.co/mp3-preview/e5f8dc2c4ab7b62b93285959d6d2292a96269f6d?cid=9fdb4c15be18472b830ea3f6f9779309,11,Georgs Pelēcis,https://i.scdn.co/image/ab67616d00001e023127d53fbe67a6bc80dc0392,https://open.spotify.com/track/66hmFhdoI5YyDtNQYF2LoW,0.975,0.298,408093,0.0315,0.7140000000000001,9,0.0582,-30.249,0.0449,135.392,3,0.0551,163.30396554300034,319.0,2987.0
6nrAWuaVbyFQarDD7VZP3A,avant-garde,The Montana Section,1,https://p.scdn.co/mp3-preview/6f47b5d3e7e597ab03a8afef4b9d70d71847760a?cid=9fdb4c15be18472b830ea3f6f9779309,4,Doug Wieselman,https://i.scdn.co/image/ab67616d00001e020ab2bf7220b0e3f9b55bb96e,https://open.spotify.com/track/6nrAWuaVbyFQarDD7VZP3A,0.99,0.203,227293,0.0463,0.929,6,0.0719,-22.883000000000006,0.0423,57.958,3,0.205,162.76229680402045,320.0,2986.0
3c8mNUeqbasEt6BvzYtxNb,avant-garde,The Rhythm Of A Dividing Pair,39,https://p.scdn.co/mp3-preview/4219dae8bb17a2b7d3564860aecaa790cf4dbcfa?cid=9fdb4c15be18472b830ea3f6f9779309,8,A Winged Victory for the Sullen,https://i.scdn.co/image/ab67616d00001e02c8b4d3e989567cb13adf5e28,https://open.spotify.com/track/3c8mNUeqbasEt6BvzYtxNb,0.924,0.111,292540,0.123,0.922,2,0.0987,-18.685,0.0349,69.619,4,0.0375,161.7553836139967,321.0,2985.0
2p4TOwO1zyNPxyXzu0wg47,avant-garde,Sanctuary,4,https://p.scdn.co/mp3-preview/cc3f13937e8d5d838b84be8a60bfebb1f62ad96d?cid=9fdb4c15be18472b830ea3f6f9779309,4,Stuart Dempster,https://i.scdn.co/image/ab67616d00001e02433832b1d690ffeec8a2ab7c,https://open.spotify.com/track/2p4TOwO1zyNPxyXzu0wg47,0.961,0.147,720333,0.0994,0.818,5,0.0835,-25.848000000000006,0.0416,86.648,3,0.0385,161.6536720251308,322.0,2984.0
3uP6XDAXgFVhfy0YWQP8m1,avant-garde,Lorsque vous n'aurez rien à faire,20,https://p.scdn.co/mp3-preview/548aceb1eea5b538a578ce2c9db689fe782c2741?cid=9fdb4c15be18472b830ea3f6f9779309,15,Dawn Upshaw,https://i.scdn.co/image/ab67616d00001e023f094bf7d34c758de1eda5f4,https://open.spotify.com/track/3uP6XDAXgFVhfy0YWQP8m1,0.99,0.244,181812,0.191,0.266,7,0.118,-15.816,0.0531,86.785,4,0.0368,161.10663073281665,323.0,2983.0
