artist_id;artist_name;artist_tag;genre;level;followers;popularity;spotify_url;imgurl
6hkNj3GAqFbkEUCs3R1dY3;Rory Block;acoustic blues,country blues,modern blues;blues;level_2;5869;40;https://open.spotify.com/artist/6hkNj3GAqFbkEUCs3R1dY3;https://i.scdn.co/image/606eff3128d97fc155ff32d018d63dea12f9f7b3
5tOrTQaBRD5yPHqbEwsRn7;Hot Tuna;blues-rock,classic rock,country rock,electric blues,folk rock,jam band,psychedelic rock,roots rock,southern rock;blues;level_2;28805;38;https://open.spotify.com/artist/5tOrTQaBRD5yPHqbEwsRn7;https://i.scdn.co/image/c86a807490659b969de683a1845453081c0014ec
6R7WjUX7Fk4zHPEHSdqEkY;Alvin Lee;blues-rock,british blues,classic rock,electric blues,modern blues,southern rock;blues;level_2;44109;40;https://open.spotify.com/artist/6R7WjUX7Fk4zHPEHSdqEkY;https://i.scdn.co/image/d285377422f5d259f7cbbf90d7fd6f7625c1b1f2
6QvgWa4x3Ij4tvBpFMo11P;Tony Joe White;blues,blues-rock,electric blues,louisiana blues,modern blues,pub rock,roots rock,southern rock,swamp blues,swamp pop;blues;level_2;38928;52;https://open.spotify.com/artist/6QvgWa4x3Ij4tvBpFMo11P;https://i.scdn.co/image/61e7bdc6b849dbec4c9dad13c7853de8cadf9e71
1CPwHx5lgVxv0rfcp7UXLx;Ry Cooder;blues,blues-rock,country blues,country rock,folk,folk rock,mellow gold,modern blues,piedmont blues,roots rock,singer-songwriter,traditional blues,traditional folk;blues;level_2;118378;55;https://open.spotify.com/artist/1CPwHx5lgVxv0rfcp7UXLx;https://i.scdn.co/image/493036eb830805cc46ee8c721a5d461d7c8fab4e
2uNcfNhlVJUyEX0t0NG1m1;Eric Bibb;acoustic blues,blues,country blues,electric blues,modern blues,piedmont blues,traditional blues;blues;level_2;26486;48;https://open.spotify.com/artist/2uNcfNhlVJUyEX0t0NG1m1;https://i.scdn.co/image/14eb9c62221376c3ccf5e551a9a983b390c29cd9
1YwfENKEZrowcmtR1nALZn;The Derek Trucks Band;blues,blues-rock,classic rock,electric blues,funk,jam band,modern blues,modern blues rock,roots rock,southern rock;blues;level_2;79490;49;https://open.spotify.com/artist/1YwfENKEZrowcmtR1nALZn;https://i.scdn.co/image/b7baa943d7fb3d6c04d486e69feb62a898eebb2b
0ZIwOAzDuGPspzK7yiTc4S;Little Feat;album rock,blues-rock,classic rock,country rock,electric blues,folk,folk rock,funk,heartland rock,jam band,mellow gold,modern blues,psychedelic rock,rock,roots rock,soft rock,southern rock;blues;level_2;144054;58;https://open.spotify.com/artist/0ZIwOAzDuGPspzK7yiTc4S;https://i.scdn.co/image/9ef81e155927e81bf295825ecce2cc2cbe84e96f
5qpgJEqRgEJ2kRwtxNrkCZ;Henry Butler;louisiana blues,memphis blues,new orleans blues;blues;level_2;1838;17;https://open.spotify.com/artist/5qpgJEqRgEJ2kRwtxNrkCZ;https://i.scdn.co/image/0f3d28aaa4e3daf232ad9e0b326605b05377140f
7GlnrRLOQtsu3wtX3a2xEl;Little Charlie & The Nightcats;blues,electric blues;blues;level_2;3460;26;https://open.spotify.com/artist/7GlnrRLOQtsu3wtX3a2xEl;https://i.scdn.co/image/e07958033dbfcd18ddec5f0e6ee5c1c4cb308c44
3HojqGF4FshKki7Ku6gPqE;Sugar Blue;chicago blues,harmonica blues;blues;level_2;3967;17;https://open.spotify.com/artist/3HojqGF4FshKki7Ku6gPqE;https://i.scdn.co/image/c659c4249dd78aa2ca51e4c3563b27f1db68a1c8
7LvQ7F9il2LSzH7iwR4N2p;Bull Moose Jackson;jump blues,rhythm and blues;blues;level_2;1493;22;https://open.spotify.com/artist/7LvQ7F9il2LSzH7iwR4N2p;https://i.scdn.co/image/d46c100669d30087904ba584de926812885652a4
5K3FOIJ4gEZlPaJJpqaXmm;Big Jay McNeely;jazz blues,jazz saxophone,jump blues,rhythm and blues;blues;level_2;3394;36;https://open.spotify.com/artist/5K3FOIJ4gEZlPaJJpqaXmm;https://i.scdn.co/image/5e8cdb641e3949802865437ea3f2b44b9201b4b0
39AMDMPl2TPIIylBZX8P3O;Varetta Dillard;rhythm and blues;blues;level_2;1209;28;https://open.spotify.com/artist/39AMDMPl2TPIIylBZX8P3O;https://i.scdn.co/image/3279b5060f8613dc417a9ac66a3f32e49d5a7ffc
0v6JkAzkEJ6lCw6hAVs5VP;Wynona Carr;jump blues,rhythm and blues;blues;level_2;2340;26;https://open.spotify.com/artist/0v6JkAzkEJ6lCw6hAVs5VP;https://i.scdn.co/image/f647ff32435d592157ed515ebd03777131a8cf65
3vGNC6AxklaHcsli3XSjV5;John Hammond Jr.;;blues;level_1;620;5;https://open.spotify.com/artist/3vGNC6AxklaHcsli3XSjV5;https://i.scdn.co/image/a3dd09008652619068fd2d6db0986d1c633e136c
