artist_id;artist_name;artist_tag;genre;level;followers;popularity;spotify_url;imgurl
55Aa2cqylxrFIXC767Z865;Lil Wayne;hip hop,pop rap,rap,trap music;rap;level_1;6995603;92;https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865;https://i.scdn.co/image/5571c43301ca9d2bf86c768d3946ea946f6d270d
3TVXtAsR1Inumwj472S9r4;Drake;canadian hip hop,canadian pop,hip hop,pop rap,rap;rap;level_1;30274773;100;https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4;https://i.scdn.co/image/55e3fb26d67b4d71321440b3a440eecd9d8f20f7
2RE8NwNxsOyuNZDD0jRxHP;Kool Moe Dee;east coast hip hop,electro,gangster rap,hardcore hip hop,hip hop,hip house,new jack swing,old school hip hop,rap;rap;level_1,level_2;79381;57;https://open.spotify.com/artist/2RE8NwNxsOyuNZDD0jRxHP;https://i.scdn.co/image/b0c09851606c5435f92b3ff4c274e2bd7b3f6a57
4EnEZVjo3w1cwcQYePccay;N.W.A.;conscious hip hop,gangster rap,hardcore hip hop,hip hop,old school hip hop,rap,west coast rap;rap;level_1,level_2;2028388;68;https://open.spotify.com/artist/4EnEZVjo3w1cwcQYePccay;https://i.scdn.co/image/6c6c5456aa373c9cbf4f385c2dd69c4177e6e3fa
0eGh2jSWPBX5GuqIHoZJZG;Ice-T;conscious hip hop,electro,gangster rap,hardcore hip hop,hip hop,old school hip hop,rap,west coast rap;rap;level_1,level_2;406474;50;https://open.spotify.com/artist/0eGh2jSWPBX5GuqIHoZJZG;https://i.scdn.co/image/9df7ff6bad591972de1046b806113f428bd81b48
7hJcb9fa4alzcOq3EaNPoG;Snoop Dogg;g funk,gangster rap,hip hop,pop rap,rap,west coast rap;rap;level_1,level_2;3992652;85;https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG;https://i.scdn.co/image/bd61c60351016c75d2b4184808546181125149dc
3q7HBObVc0L8jNeTe5Gofh;50 Cent;east coast hip hop,gangster rap,hip hop,pop rap,rap;rap;level_1,level_2;4739132;83;https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh;https://i.scdn.co/image/6f0da41419b31d9d2ba55d2df212f59ad0668118
3CQIn7N5CuRDP8wEI7FiDA;Run–D.M.C.;east coast hip hop,hardcore hip hop,hip hop,old school hip hop,rap;rap;level_1,level_2;484916;66;https://open.spotify.com/artist/3CQIn7N5CuRDP8wEI7FiDA;https://i.scdn.co/image/bbdeb7e5e0b12a8896daeeddfbf685a5ebd66271
6futYSDVulYR2PktBjTB5W;Big Daddy Kane;east coast hip hop,electro,gangster rap,hardcore hip hop,hip hop,hip house,old school hip hop,rap,turntablism;rap;level_1,level_2;191972;53;https://open.spotify.com/artist/6futYSDVulYR2PktBjTB5W;https://i.scdn.co/image/c6bc13cb3094a702756393e7eec3dda79e532651
5m7wCUhYhBh7A3A3YMxrbt;Queen Latifah;conscious hip hop,east coast hip hop,hip hop,hollywood;rap;level_1;66998;59;https://open.spotify.com/artist/5m7wCUhYhBh7A3A3YMxrbt;https://i.scdn.co/image/bd0d30004390383f4f272f4735386c851171bdb4
